goodreads_link,animal,pronoun,pronoun_extra,flag_anthropomorphic,flag_importance,note,flag_duplicate,pronoun_group,animal_book_rank,num_ratings,title,author,reviewed,duplicate,decade_category,manual_rank,avg_ratings,book_cover_image,description,num_reviews,ISBN,pub_date,pub_year,publisher,decade,animal_group
https://www.goodreads.com/book/show/157993.The_Little_Prince,fox,he/him,,,,,,he/him,1,2177997,The Little Prince,Antoine de Saint-Exupéry,TRUE,,Pre-1950,,4.33,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443l/157993.jpg,"A pilot stranded in the desert awakes one morning to see, standing before him, the most extraordinary little fellow. ""Please,"" asks the stranger, ""draw me a sheep."" And the pilot realizes that when life's events are too difficult to understand, there is no choice but to succumb to their mysteries. He pulls out pencil and paper... And thus begins this wise and enchanting fable that, in teaching the secret of what is really important in life, has changed forever the world for its readers.Few stories are as widely read and as universally cherished by children and adults alike asThe Little Prince, presented here in a stunning new translation with carefully restored artwork. The definitive edition of a worldwide classic, it will capture the hearts of readers of all ages.Show more",71513,,"April 6, 1943",1943,"Harcourt, Inc.",1940,fox
https://www.goodreads.com/book/show/32929.Goodnight_Moon,rabbit,she/her,,,,"the ""old lady"" is a rabbit, and she doesn't have any pronouns, but she's an old lady...",,she/her,2,379039,Goodnight Moon,Margaret Wise Brown,TRUE,,Pre-1950,,4.31,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439223893i/32929.jpg,"In a great green room, tucked away in bed, is a little bunny. ""Goodnight room, goodnight moon."" And to all the familiar things in the softly lit room -- to the picture of the three little bears sitting on chairs, to the clocks and his socks, to the mittens and the kittens, to everything one by one -- the little bunny says goodnight.In this classic of children's literature, beloved by generations of readers and listeners, the quiet poetry of the words and the gentle, lulling illustrations combine to make a perfect book for the end of the day.Show more",7274,9780060775858,"September 3, 1947",1947,HarperCollins,1940,rabbit
https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,bear,he/him,,,,,,he/him,3,377881,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,TRUE,,Pre-1950,,4.38,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107.jpg,"The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.",8063,9780525467564,"October 14, 1926",1926,Dutton Juvenile,1920,bear
https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,rabbit,he/him,,,,,,he/him,3,377881,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,TRUE,,Pre-1950,,4.38,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107.jpg,"The adventures of Christopher Robin and his friends in which Pooh Bear uses a balloon to get honey, Piglet meets a Heffalump, and Eeyore has a birthday.",8063,9780525467564,"October 14, 1926",1926,Dutton Juvenile,1920,rabbit
https://www.goodreads.com/book/show/144974.The_Velveteen_Rabbit,rabbit,he/him,,,,,,he/him,4,261668,The Velveteen Rabbit,Margery Williams Bianco,TRUE,,Pre-1950,,4.3,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347748913i/144974.jpg,"Nursery magic is very strange and wonderful, and only those playthings that are old and wise and experienced like the Skin Horse understand all about it.Like the Skin Horse, Margery Williams understood how toys—and people—become real through the wisdom and experience of love. This reissue of a favorite classic, with the original story and illustrations as they first appeared in 1922, will work its magic for all who read it.",5092,9780380002559,"January 1, 1922",1922,Avon,1920,rabbit
https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,rabbit,he/him,,,,,,he/him,5,249517,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,TRUE,,Pre-1950,,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321.jpg,"""Now, my dears,""said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit',first published in 1902, is still today one ofBeatrix Potter'smost popular and well-loved tales. It is the first of the illustrious series that isThe World of Beatrix Potter',and a story which has endured retelling after retelling at bedtimes all over the world.Beatrix Potter(1866–1943) loved the countryside and spent much of her childhood drawing and studying animals.'The Tale of Peter Rabbit',first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660LShow more",2818,9780723247708,"January 1, 1902",1902,Warne,1900,rabbit
https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,rabbit,she/her,,,,,,she/her,5,249517,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,TRUE,,Pre-1950,,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321.jpg,"""Now, my dears,""said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit',first published in 1902, is still today one ofBeatrix Potter'smost popular and well-loved tales. It is the first of the illustrious series that isThe World of Beatrix Potter',and a story which has endured retelling after retelling at bedtimes all over the world.Beatrix Potter(1866–1943) loved the countryside and spent much of her childhood drawing and studying animals.'The Tale of Peter Rabbit',first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660LShow more",2818,9780723247708,"January 1, 1902",1902,Warne,1900,rabbit
https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,mouse,she/her,,,,,,she/her,5,249517,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,TRUE,,Pre-1950,,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321.jpg,"""Now, my dears,""said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit',first published in 1902, is still today one ofBeatrix Potter'smost popular and well-loved tales. It is the first of the illustrious series that isThe World of Beatrix Potter',and a story which has endured retelling after retelling at bedtimes all over the world.Beatrix Potter(1866–1943) loved the countryside and spent much of her childhood drawing and studying animals.'The Tale of Peter Rabbit',first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660LShow more",2818,9780723247708,"January 1, 1902",1902,Warne,1900,mouse
https://www.goodreads.com/book/show/19321.The_Tale_of_Peter_Rabbit,cat,she/her,,,,,,she/her,5,249517,"The Tale of Peter Rabbit (World of Beatrix Potter, #1)",Beatrix Potter,TRUE,,Pre-1950,,4.22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1485118382i/19321.jpg,"""Now, my dears,""said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.'The Tale of Peter Rabbit',first published in 1902, is still today one ofBeatrix Potter'smost popular and well-loved tales. It is the first of the illustrious series that isThe World of Beatrix Potter',and a story which has endured retelling after retelling at bedtimes all over the world.Beatrix Potter(1866–1943) loved the countryside and spent much of her childhood drawing and studying animals.'The Tale of Peter Rabbit',first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660LShow more",2818,9780723247708,"January 1, 1902",1902,Warne,1900,cat
https://www.goodreads.com/book/show/420297.Curious_George,monkey,he/him,,,,,,he/him,8,137375,Curious George,H.A. Rey,TRUE,,Pre-1950,,4.17,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442953450i/420297.jpg,"The first adventure in this highly popular series tells how the little monkey Curious George, caught in the jungle and brought back to the city by a man in a yellow hat, can't help being interested in all the new things around him. Though well meaning, George's curiosity always gets him into trouble. Young readers can easily relate, and Rey's cheerful illustrations celebrate Curious George's innocence.",1405,9780395150238,"January 1, 1941",1941,Houghton Mifflin Co.,1940,monkey
